Bank_ID,Capital_Asset_Pricing_Model,Equities,Insurance_Coverage,Loan_Amounts,Deposit_Amount,Risk_Factor_Equities,Risk_Factor_Loans,Bank_Assets,Bank_Liabilities,Liquidity_Ratio,Capital_Ratio,Operating_Cost,Financial_Leverage,Agricultural_Performance,Economic_Indicators,Natural_Disasters,Employment_Rate,Inflation_Rate,Credit_Risk,Systemic_Risk_Level
1,0.37463861340922644,0.6771907088273525,0.4172293617730312,0.5295478746860808,0.13401339646040555,0.3544389302677702,0.09987845700856013,0.7322073150712283,0.12754097183429947,0.20812802462235602,0.8653736638078432,0.7808044180645057,0.2857142857142856,0.028400549525787744,0.3783278783618371,0.75,0.16779160111039237,0.15546175131404805,0.020442035441522566,1
2,0.950982223786271,0.4839939264236699,0.5344605704701901,0.9751060402026622,0.3564071762846239,0.47178885781102053,0.9607268118967488,0.2500691531227258,0.4371775625638236,0.8270055267426974,0.8764977238651029,0.11673823112857767,0.4285714285714286,0.062073392861859644,0.05454587351901763,0.75,0.9590645466678438,0.8068382857475185,0.8671324601722462,2
3,0.7321975449221149,0.9783396140775695,0.965929250537525,0.5499816520981047,0.5098493970748119,0.5518071165467596,0.3247032736956018,0.5602512471114858,0.9737759782411355,0.7845889008811913,0.9963766669342794,0.37167877998035753,0.1428571428571428,0.533719655073288,0.04290429156842812,1.0,0.8761264308612973,0.5174682353431754,0.4702011998068364,1
4,0.5988228802953738,0.8741496564548232,0.005193457301281124,0.2123778397358702,0.14626440237306693,0.1564425866782373,0.6731698428837146,0.7226253395723861,0.7734797913056906,0.7973983357071914,0.6394811204899319,0.39582237608018817,1.0,0.003766763664600048,0.06269092832729006,0.5,0.7926604384203586,0.5579794234913549,0.02565919202709399,0
5,0.15605287922072442,0.35899665115550117,0.28410513758951333,0.8824012026753759,0.20599686439334808,0.7795011333859577,0.7303620787947919,0.854105453226536,0.8971266914318821,0.47028668109699057,0.08164859551874093,0.27360858203328103,0.1428571428571428,0.6386325252655048,0.658043716456969,1.0,0.2077867779590561,0.1279304863107883,0.4990558022468127,2
6,0.15602875202202382,0.04533935723505933,0.813470264421527,0.8685337400493268,0.7119035239675183,0.3115083207017003,0.19766564540228815,0.2652685884483992,0.7588565849591584,0.3285557390147451,0.8228109835241418,0.0940029155984517,0.2857142857142856,0.624355605949119,0.10773461290290598,0.5,0.9222221337852037,0.48815456720081785,0.9691235624300988,2
7,0.05808905335630443,0.8456655260442114,0.08379388086699285,0.743622624421866,0.9524709740764509,0.9180681439502884,0.6938611872703847,0.3824720451664252,0.11768239280097997,0.8497692141965876,0.1348529362305283,0.13812778964474864,0.2857142857142856,0.2208744363179005,0.4100689928334016,0.25,0.22882771675785563,0.41923880112276124,0.7009883082936111,2
8,0.8664192048820097,0.9112888210737535,0.3279111108088468,0.8587797586546494,0.49086148269781316,0.3295355308402699,0.009264969201070228,0.9319592379320876,0.10582395123828453,0.5881645918641054,0.737903786935688,0.9997321490871685,0.2857142857142856,0.43491303355017463,0.4865800124592856,0.5,0.9373379637925832,0.6577353654305229,0.8458260942950678,1
9,0.6012801301783318,0.8206607953027334,0.4083806615975601,0.4904618419492891,0.6886837854281206,0.86298559142202,0.418219103748512,0.6403932805947385,0.13218675631811666,0.930977914788397,0.42401776198730456,0.08221572477430872,0.4285714285714286,0.7662596442324604,0.45737013278378047,0.25,0.7972969590335779,0.5919819218921916,0.05666246626447746,1
10,0.7082691468797101,0.1278219683463213,0.39640999288634166,0.7829791657531618,0.3630967372218916,0.35252099828659655,0.3504129545495217,0.6537934045733012,0.08773595008591167,0.2537329145544127,0.006584274247081967,0.5808450833851653,1.0,0.2014164340309006,0.030897128858022427,0.5,0.7497790317567417,0.11723165590184259,0.8967841309149932,2
11,0.020578908946745522,0.9979898393770321,0.6430023011874522,0.7588886456580827,0.11977301639980514,0.5058567425599448,0.9329084770412853,0.3885353873666001,0.3945778715451786,0.9756312408714107,0.43577267919270046,0.988194802391801,0.7142857142857142,0.6031071385416394,0.3390479727981286,0.25,0.9988678646748046,0.6462182860892021,0.14040071503618468,0
12,0.9701834139484203,0.25848668311002854,0.7874809748478939,0.43047945793578846,0.7848090460895943,0.3723477077451498,0.9861279635926846,0.27127305373289146,0.01039302171308254,0.3791410777648443,0.7966773586365555,0.9498228457571389,0.4285714285714286,0.4389031666593358,0.9678316844091506,1.0,0.5051910362746912,0.3902074789651997,0.9642005421004297,1
13,0.8326757806409294,0.7242158509531238,0.5354815794655108,0.6352353741546501,0.05001921687190225,0.3870917480131495,0.28793395389762144,0.04719000293774511,0.7474685014619318,0.3843955612612111,0.08737421657696975,0.8795596240883752,1.0,0.39412561264703705,0.5715420591300595,0.5,0.3986675422158452,0.6417102521623363,0.5557455115423066,1
14,0.21238991037301402,0.9080886417162446,0.6768718892746983,0.7337699428189013,0.11023993637203683,0.6186322924521724,0.6100488452451419,0.5507042057160034,0.5318644554649312,0.23872047739854452,0.002182724078307219,0.027354305734685502,0.5714285714285714,0.3291704698222445,0.3656764447595182,1.0,0.8505333248316778,0.26452563355745884,0.3544019081536679,1
15,0.18186679428178665,0.23558424150291302,0.053102202447021074,0.45703664962142965,0.00024351744556311283,0.6929959159397575,0.7452855236261561,0.6563639165056327,0.08332623851893384,0.9650285326633736,0.4527569568035468,0.3418793030274156,0.8571428571428572,0.5445629310052168,0.6942351584064945,0.75,0.7246554441668736,0.17200171454507784,0.7843824306328137,2
16,0.18344680138933056,0.9083123721683812,0.8162494518402532,0.5495771813121159,0.7847962644801741,0.8705819950192187,0.1910832017478984,0.9658605099755018,0.13090215109521808,0.03959082805710268,0.0014675435134491321,0.44122072990999356,0.0,0.25102470872374016,0.3232014128499938,0.0,0.658474134601502,0.9705783795771517,0.567125482515998,0
17,0.30432006657806066,0.3093958984117433,0.29909749419069015,0.7434315594916339,0.9223651712480031,0.5690911507246702,0.6866676619721309,0.2938337337103616,0.01923004748787438,0.4732935446975124,0.9347597329041805,0.35171650919483916,0.1428571428571428,0.6366608483212511,0.7717836654832411,0.5,0.3419362299209172,0.38791835926604956,0.6118578344021705,2
18,0.5248990969866222,0.9764829180051755,0.5819937299259517,0.841138346848204,0.13740596903382812,0.2168011241853397,0.257692286499145,0.027672140369607856,0.5781202199860034,0.36540274904835424,0.8248767690024542,0.5193864288370644,0.8571428571428572,0.11396375889176291,0.4398970486146321,0.25,0.7047829518384117,0.19033900281162797,0.09461514150269579,2
19,0.4320603929946726,0.28116776476411953,0.9575723522525708,0.05919770068528285,0.20554828547491233,0.98971617744936,0.1688371076998324,0.295966824263178,0.014947517501313179,0.15915624923761085,0.6301215707680256,0.5702603455851991,0.1428571428571428,0.8584906732450733,0.7776897072605631,1.0,0.31282910930193064,0.5305584954479103,0.028266544665304538,1
